Drugs ,Cell line,TCGA classification,Tissue,Tissue sub-type,IC50,AUC,Smiles
,IGR-1,SKCM,skin,melanoma,0.005874,0.863948,
,HMV-II,SKCM,skin,melanoma,0.006453,0.824809,
,MDA-MB-468,BRCA,breast,breast,0.00692,0.878193,
,NB4,LAML,blood,acute_myeloid_leukaemia,0.007153,0.904285,
,NCI-H2030,LUAD,lung,lung_NSCLC_adenocarcinoma,0.007316,0.853447,
,H4,LGG,nervous_system,glioma,0.007321,0.878927,
,SBC-3,SCLC,lung,lung_small_cell_carcinoma,0.007433,0.888444,
,SU-DHL-1,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,0.00761,0.917122,
,P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,0.007954,0.936106,
,NCI-H2795,MESO,lung,mesothelioma,0.007999,0.876776,
,SBC-5,SCLC,lung,lung_small_cell_carcinoma,0.008055,0.905575,
,G-361,SKCM,skin,melanoma,0.008338,0.887417,
,MY-M12,ALL,blood,leukemia,0.008482,0.872507,
,RT-112,BLCA,urogenital_system,bladder,0.00869,0.872393,
,ABC-1,LUAD,lung,lung_NSCLC_adenocarcinoma,0.008702,0.858728,
,G-MEL,SKCM,skin,melanoma,0.009216,0.893262,
,MC-IXC,NB,nervous_system,neuroblastoma,0.009358,0.957665,
,786-0,KIRC,kidney,kidney,0.009421,0.905141,
,LK-2,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,0.009433,0.89128,
,A253,UNCLASSIFIED,aero_digestive_tract,head_and_neck,0.009465,0.884587,
,HuH-7,LIHC,digestive_system,liver,0.009516,0.879707,
,TMK-1,STAD,digestive_system,stomach,0.00954,0.869341,
,KARPAS-231,UNCLASSIFIED,blood,B_cell_leukemia,0.009699,0.941584,
,NCI-H2122,LUAD,lung,lung_NSCLC_adenocarcinoma,0.009749,0.890571,
,NCI-H1573,LUAD,lung,lung_NSCLC_adenocarcinoma,0.010061,0.887453,
,LN-405,GBM,nervous_system,glioma,0.010148,0.870753,
,KMH-2,THCA,thyroid,thyroid,0.010206,0.920783,
,KON,HNSC,aero_digestive_tract,head_and_neck,0.010483,0.908413,
,WM793B,SKCM,skin,melanoma,0.010538,0.89144,
,NCI-H1299,UNCLASSIFIED,lung,lung_NSCLC_large_cell,0.010558,0.869673,
,HCC-44,LUAD,lung,lung_NSCLC_adenocarcinoma,0.010841,0.910772,
,RPMI-7951,SKCM,skin,melanoma,0.010969,0.909634,
,CP66-MEL,SKCM,skin,melanoma,0.011156,0.889776,
,Mewo,SKCM,skin,melanoma,0.011378,0.872481,
,EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,0.011581,0.915658,
,NCI-H292,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,0.011866,0.880942,
Vinblastine,EFM-19,BRCA,breast,breast,0.011873,0.8553,CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
,AMO-1,MM,blood,haematopoietic_neoplasm_other,0.000536,0.260719,
,NCI-H446,SCLC,lung,lung_small_cell_carcinoma,0.000565,0.285255,
,SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,0.000678,0.279627,
,IM-9,MM,blood,myeloma,0.000722,0.297074,
,NCI-H2122,LUAD,lung,lung_NSCLC_adenocarcinoma,0.000805,0.322063,
,WSU-DLCL2,DLBC,blood,B_cell_lymphoma,0.000823,0.312749,
,U-698-M,UNCLASSIFIED,blood,B_cell_leukemia,0.000907,0.333072,
,NCCIT,-,urogenital_system,testis,0.000962,0.349291,
,P30-OHK,ALL,blood,lymphoblastic_leukemia,0.000994,0.336446,
,ALL-SIL,ALL,blood,T_cell_leukemia,0.001186,0.364163,
,BC-1,DLBC,blood,B_cell_lymphoma,0.001212,0.367207,
,JiyoyeP-2003,UNCLASSIFIED,blood,Burkitt_lymphoma,0.001234,0.374212,
,JVM-3,CLL,blood,lymphoid_neoplasm_other,0.00131,0.384035,
,Jurkat,ALL,blood,T_cell_leukemia,0.001316,0.378592,
,NCI-H847,SCLC,lung,lung_small_cell_carcinoma,0.001331,0.380501,
,MDST8,COREAD,digestive_system,large_intestine,0.001354,0.393341,
,SU-DHL-5,DLBC,blood,B_cell_lymphoma,0.00138,0.380341,
,NCI-H69,SCLC,lung,lung_small_cell_carcinoma,0.001436,0.402448,
,MV-4-11,UNCLASSIFIED,blood,leukemia,0.001441,0.388255,
,RPMI-8402,ALL,blood,lymphoblastic_T_cell_leukaemia,0.001472,0.394006,
,MOG-G-UVW,LGG,nervous_system,glioma,0.001506,0.404085,
,CML-T1,LCML,blood,chronic_myeloid_leukaemia,0.001581,0.402859,
,P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,0.001631,0.404551,
,BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,0.001648,0.40576,
,EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,0.001656,0.407837,
,NCI-H524,SCLC,lung,lung_small_cell_carcinoma,0.001658,0.412412,
,RH-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.001689,0.41197,
,SU-DHL-10,DLBC,blood,B_cell_lymphoma,0.001717,0.412571,
,MONO-MAC-6,LAML,blood,acute_myeloid_leukaemia,0.001734,0.418888,
,SNU-16,STAD,digestive_system,stomach,0.001742,0.417809,
,SU-DHL-6,DLBC,blood,B_cell_lymphoma,0.001743,0.41513,
,MOLM-13,LAML,blood,acute_myeloid_leukaemia,0.001749,0.415887,
,697,UNCLASSIFIED,blood,lymphoblastic_leukemia,0.001803,0.420704,
,NKM-1,LAML,blood,acute_myeloid_leukaemia,0.001812,0.428288,
,HL-60,LAML,blood,acute_myeloid_leukaemia,0.001822,0.425326,
,SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.001839,0.423165,
,BFTC-905,BLCA,urogenital_system,bladder,0.001862,0.431484,
,NCI-H3118,UNCLASSIFIED,aero_digestive_tract,head_and_neck,0.001867,0.437842,
,VAL,DLBC,blood,B_cell_lymphoma,0.00187,0.431219,
,OCI-AML2,LAML,blood,acute_myeloid_leukaemia,0.001872,0.425599,
,MOLT-16,ALL,blood,lymphoblastic_T_cell_leukaemia,0.00188,0.424968,
,ES1,UNCLASSIFIED,bone,ewings_sarcoma,0.001889,0.431872,
,TUR,DLBC,blood,B_cell_lymphoma,0.001901,0.427871,
,BALL-1,UNCLASSIFIED,blood,B_cell_leukemia,0.001968,0.432811,
,OCI-AML3,LAML,blood,acute_myeloid_leukaemia,0.001971,0.437085,
,L-363,MM,blood,myeloma,0.001976,0.433321,
,KE-37,ALL,blood,lymphoblastic_leukemia,0.001981,0.433514,
,DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.002012,0.436205,
,ES8,UNCLASSIFIED,bone,ewings_sarcoma,0.002018,0.438145,
Vincristine,A4-Fuk,DLBC,blood,B_cell_lymphoma,0.002018,0.439117,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
,SU-DHL-5,DLBC,blood,B_cell_lymphoma,0.001166,0.010613,
,DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.001245,0.032097,
,MOLM-13,LAML,blood,acute_myeloid_leukaemia,0.001303,0.029567,
,ATN-1,ALL,blood,lymphoblastic_T_cell_leukaemia,0.001561,0.045252,
,P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,0.001626,0.023118,
,SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.001959,0.048616,
,KARPAS-620,MM,blood,haematopoietic_neoplasm_other,0.002089,0.086332,
,BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,0.002106,0.025606,
,NALM-6,UNCLASSIFIED,blood,B_cell_leukemia,0.002201,0.077051,
,JVM-2,CLL,blood,lymphoid_neoplasm_other,0.002215,0.112761,
,DOHH-2,DLBC,blood,B_cell_lymphoma,0.002361,0.019162,
,WSU-NHL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.002533,0.088975,
,BE-13,ALL,blood,lymphoblastic_leukemia,0.00259,0.102684,
,ES7,UNCLASSIFIED,bone,ewings_sarcoma,0.003086,0.117148,
,RF-48,STAD,digestive_system,stomach,0.003118,0.126249,
,SKM-1,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,0.003141,0.089417,
,ARH-77,MM,blood,myeloma,0.003344,0.109136,
,NCI-H446,SCLC,lung,lung_small_cell_carcinoma,0.003347,0.127913,
,KY821,LAML,blood,leukemia,0.003356,0.10263,
,EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,0.003454,0.081255,
,BALL-1,UNCLASSIFIED,blood,B_cell_leukemia,0.0035,0.087796,
,CTV-1,LAML,blood,acute_myeloid_leukaemia,0.004083,0.097692,
,RPMI-6666,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.004291,0.151982,
,JVM-3,CLL,blood,lymphoid_neoplasm_other,0.004355,0.139197,
,ES8,UNCLASSIFIED,bone,ewings_sarcoma,0.004504,0.125885,
,Farage,DLBC,blood,B_cell_lymphoma,0.00485,0.121045,
,SU-DHL-10,DLBC,blood,B_cell_lymphoma,0.005019,0.11016,
,RH-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.005246,0.128864,
,AMO-1,MM,blood,haematopoietic_neoplasm_other,0.005261,0.135836,
,L-540,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.005438,0.144415,
,Ramos-2G6-4C10,UNCLASSIFIED,blood,Burkitt_lymphoma,0.005489,0.11727,
,NCI-H82,SCLC,lung,lung_small_cell_carcinoma,0.005505,0.152001,
,RS4-11,ALL,blood,leukemia,0.005596,0.13545,
,SK-ES-1,UNCLASSIFIED,bone,ewings_sarcoma,0.005639,0.15564,
,MLMA,UNCLASSIFIED,blood,hairy_cell_leukaemia,0.00566,0.159422,
,MOLT-13,ALL,blood,lymphoblastic_T_cell_leukaemia,0.005698,0.142848,
,SU-DHL-6,DLBC,blood,B_cell_lymphoma,0.005714,0.127198,
,A4-Fuk,DLBC,blood,B_cell_lymphoma,0.005843,0.156724,
,CML-T1,LCML,blood,chronic_myeloid_leukaemia,0.00596,0.141722,
,CCRF-CEM,ALL,blood,lymphoblastic_leukemia,0.006001,0.131962,
,KMS-12-BM,MM,blood,myeloma,0.006057,0.140171,
,TUR,DLBC,blood,B_cell_lymphoma,0.006315,0.142033,
,SNU-175,COREAD,digestive_system,large_intestine,0.006332,0.187519,
,U-698-M,UNCLASSIFIED,blood,B_cell_leukemia,0.006416,0.165279,
,BICR22,HNSC,aero_digestive_tract,head_and_neck,0.006459,0.182803,
,OCI-AML3,LAML,blood,acute_myeloid_leukaemia,0.00648,0.173629,
,LOUCY,ALL,blood,lymphoblastic_T_cell_leukaemia,0.006576,0.168142,
,REH,UNCLASSIFIED,blood,B_cell_leukemia,0.006631,0.158923,
,IMR-5,NB,nervous_system,neuroblastoma,0.006694,0.154171,
Teniposide,KU812,LCML,blood,chronic_myeloid_leukaemia,0.006731,0.180248,COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](C4=CC5=C(C=C24)OCO5)O[C@H]6[C@@H]([C@H]([C@H]7[C@H](O6)CO[C@H](O7)C8=CC=CS8)O)O
,DOHH-2,DLBC,blood,B_cell_lymphoma,0.009528,0.168718,
,SU-DHL-5,DLBC,blood,B_cell_lymphoma,0.009937,0.179962,
,SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.011592,0.212085,
,MOLT-16,ALL,blood,lymphoblastic_T_cell_leukaemia,0.011718,0.203533,
,SK-MM-2,MM,blood,myeloma,0.015312,0.283083,
,MOLM-13,LAML,blood,acute_myeloid_leukaemia,0.016085,0.253236,
,WIL2-NS,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.01733,0.274225,
,CML-T1,LCML,blood,chronic_myeloid_leukaemia,0.018118,0.272476,
,JVM-3,CLL,blood,lymphoid_neoplasm_other,0.026247,0.332574,
,IM-9,MM,blood,myeloma,0.027302,0.327883,
,EB2,UNCLASSIFIED,blood,Burkitt_lymphoma,0.027368,0.347245,
,EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,0.029657,0.335329,
,P12-ICHIKAWA,ALL,blood,lymphoblastic_T_cell_leukaemia,0.029701,0.339592,
,JVM-2,CLL,blood,lymphoid_neoplasm_other,0.029953,0.358941,
,SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,0.03042,0.336524,
,A3-KAW,DLBC,blood,B_cell_lymphoma,0.0308,0.342259,
,SUP-B15,ALL,blood,lymphoblastic_leukemia,0.032696,0.350199,
,KE-37,ALL,blood,lymphoblastic_leukemia,0.033764,0.353844,
,RS4-11,ALL,blood,leukemia,0.034784,0.359961,
,SCC-3,DLBC,blood,B_cell_lymphoma,0.035137,0.36068,
,DU-4475,BRCA,breast,breast,0.036398,0.365542,
,RH-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.040073,0.379396,
,WSU-NHL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.041869,0.38969,
,DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.042349,0.386539,
,KOPN-8,UNCLASSIFIED,blood,B_cell_leukemia,0.046654,0.404318,
,CESS,LAML,blood,acute_myeloid_leukaemia,0.0479,0.407747,
,CCRF-CEM,ALL,blood,lymphoblastic_leukemia,0.048247,0.403651,
,ATN-1,ALL,blood,lymphoblastic_T_cell_leukaemia,0.050335,0.411325,
,NCI-H1876,SCLC,lung,lung_small_cell_carcinoma,0.050564,0.41879,
,SK-ES-1,UNCLASSIFIED,bone,ewings_sarcoma,0.052249,0.419763,
,NEC8,UNCLASSIFIED,urogenital_system,testis,0.055128,0.42304,
,697,UNCLASSIFIED,blood,lymphoblastic_leukemia,0.056188,0.426045,
,ES8,UNCLASSIFIED,bone,ewings_sarcoma,0.05794,0.432145,
,HC-1,UNCLASSIFIED,blood,hairy_cell_leukaemia,0.058008,0.433885,
,NAMALWA,UNCLASSIFIED,blood,Burkitt_lymphoma,0.058112,0.431904,
,Daudi,UNCLASSIFIED,blood,Burkitt_lymphoma,0.058838,0.433777,
,BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,0.0599,0.433483,
,CTV-1,LAML,blood,acute_myeloid_leukaemia,0.062317,0.44023,
,A2780,UNCLASSIFIED,urogenital_system,ovary,0.063233,0.450848,
,BC-1,DLBC,blood,B_cell_lymphoma,0.06382,0.444725,
,ML-2,LAML,blood,acute_myeloid_leukaemia,0.064192,0.445853,
,SKM-1,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,0.066049,0.449434,
,A4-Fuk,DLBC,blood,B_cell_lymphoma,0.069676,0.458118,
,L-428,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.070236,0.4586,
,IMR-5,NB,nervous_system,neuroblastoma,0.070605,0.458491,
,SK-PN-DW,UNCLASSIFIED,bone,ewings_sarcoma,0.070938,0.461534,
,SU-DHL-8,DLBC,blood,B_cell_lymphoma,0.073369,0.463083,
,OCI-AML2,LAML,blood,acute_myeloid_leukaemia,0.074145,0.464951,
,H9,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.074227,0.465089,
Embelin,CHP-134,NB,nervous_system,neuroblastoma,0.074595,0.468098,CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O
,NTERA-2-cl-D1,UNCLASSIFIED,urogenital_system,testis,1.042504,0.394613,
,SIG-M5,LAML,blood,acute_myeloid_leukaemia,1.366006,0.431895,
,KE-37,ALL,blood,lymphoblastic_leukemia,1.999074,0.499918,
,C32,SKCM,skin,melanoma,2.230323,0.514856,
,MC116,DLBC,blood,B_cell_lymphoma,2.240799,0.520484,
,SU-DHL-5,DLBC,blood,B_cell_lymphoma,2.263989,0.521997,
,IA-LM,UNCLASSIFIED,lung,lung_NSCLC_large_cell,2.499748,0.532942,
,HuTu-80,UNCLASSIFIED,digestive_system,digestive_system_other,2.50751,0.539176,
,D-542MG,GBM,nervous_system,glioma,2.545208,0.535564,
,CCRF-CEM,ALL,blood,lymphoblastic_leukemia,2.71435,0.54988,
,ALL-PO,ALL,blood,lymphoblastic_leukemia,2.768602,0.550266,
,SK-MEL-5,SKCM,skin,melanoma,3.15647,0.566378,
,UACC-62,SKCM,skin,melanoma,3.212974,0.575997,
,KGN,UNCLASSIFIED,urogenital_system,ovary,3.302362,0.574421,
,Saos-2,UNCLASSIFIED,bone,osteosarcoma,3.339609,0.570319,
,PA-1,UNCLASSIFIED,urogenital_system,ovary,3.430465,0.594692,
,NALM-6,UNCLASSIFIED,blood,B_cell_leukemia,3.573385,0.599538,
,A2058,SKCM,skin,melanoma,3.594473,0.594855,
,LU-135,SCLC,lung,lung_small_cell_carcinoma,3.645802,0.596775,
,LOUCY,ALL,blood,lymphoblastic_T_cell_leukaemia,3.68842,0.606488,
,WM35,SKCM,skin,melanoma,3.693888,0.597215,
,SF295,GBM,nervous_system,glioma,3.703157,0.59638,
,CHP-212,NB,nervous_system,neuroblastoma,3.724096,0.598801,
,SU-DHL-8,DLBC,blood,B_cell_lymphoma,3.761745,0.604298,
,OV-90,OV,urogenital_system,ovary,3.823148,0.591173,
,NCI-H2122,LUAD,lung,lung_NSCLC_adenocarcinoma,3.824381,0.601757,
,HCC-44,LUAD,lung,lung_NSCLC_adenocarcinoma,3.877324,0.607461,
,P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,3.91391,0.619741,
,COLO-679,SKCM,skin,melanoma,3.931412,0.600448,
,CESS,LAML,blood,acute_myeloid_leukaemia,3.951263,0.614323,
,ALL-SIL,ALL,blood,T_cell_leukemia,4.049293,0.619697,
,SK-N-SH,NB,nervous_system,neuroblastoma,4.05107,0.613413,
,NH-12,NB,nervous_system,neuroblastoma,4.106698,0.608391,
,NU-DUL-1,DLBC,blood,B_cell_lymphoma,4.127418,0.625296,
,GI-1,LGG,nervous_system,glioma,4.16499,0.620058,
,RPMI-8402,ALL,blood,lymphoblastic_T_cell_leukaemia,4.183069,0.62659,
,BC-1,DLBC,blood,B_cell_lymphoma,4.185581,0.625633,
,SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,4.196136,0.627822,
,SK-MEL-24,SKCM,skin,melanoma,4.262364,0.60874,
,ML-1,THCA,thyroid,thyroid,4.317283,0.611331,
,PA-TU-8988T,PAAD,pancreas,pancreas,4.344575,0.621374,
,SUP-B15,ALL,blood,lymphoblastic_leukemia,4.378015,0.624178,
,Hs-633T,UNCLASSIFIED,soft_tissue,fibrosarcoma,4.455318,0.635826,
,CP66-MEL,SKCM,skin,melanoma,4.491111,0.622077,
,8-MG-BA,GBM,nervous_system,glioma,4.495205,0.632166,
,EW-16,UNCLASSIFIED,bone,ewings_sarcoma,4.498896,0.626068,
,SNG-M,UCEC,urogenital_system,endometrium,4.501071,0.623447,
,QIMR-WIL,LAML,blood,acute_myeloid_leukaemia,4.50193,0.627345,
,JHH-7,LIHC,digestive_system,liver,4.540124,0.632448,
Panobinostat,Hs-766T,PAAD,pancreas,pancreas,4.566672,0.612463,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)/C=C/C(=O)NO 
,LC4-1,ALL,blood,lymphoblastic_leukemia,0.001764,0.08373,
,SU-DHL-16,DLBC,blood,B_cell_lymphoma,0.002113,0.01967,
,KARPAS-45,ALL,blood,lymphoblastic_leukemia,0.002324,0.05472,
,CML-T1,LCML,blood,chronic_myeloid_leukaemia,0.002352,0.070215,
,SU-DHL-10,DLBC,blood,B_cell_lymphoma,0.002427,0.017411,
,NEC8,UNCLASSIFIED,urogenital_system,testis,0.002565,0.060389,
,JHH-1,LIHC,digestive_system,liver,0.002587,0.097371,
,RCH-ACV,UNCLASSIFIED,blood,B_cell_leukemia,0.00266,0.054988,
,ALL-PO,ALL,blood,lymphoblastic_leukemia,0.003357,0.118327,
,NB69,NB,nervous_system,neuroblastoma,0.003456,0.0937,
,KARPAS-231,UNCLASSIFIED,blood,B_cell_leukemia,0.003626,0.065881,
,MY-M12,ALL,blood,leukemia,0.003671,0.125134,
,JSC-1,DLBC,blood,B_cell_lymphoma,0.003688,0.116839,
,TC-YIK,UNCLASSIFIED,urogenital_system,cervix,0.003702,0.086281,
,P30-OHK,ALL,blood,lymphoblastic_leukemia,0.003794,0.084807,
,NCI-H3118,UNCLASSIFIED,aero_digestive_tract,head_and_neck,0.004214,0.143261,
,DU-4475,BRCA,breast,breast,0.004404,0.108966,
,COR-L303,SCLC,lung,lung_small_cell_carcinoma,0.004568,0.114614,
,CHP-212,NB,nervous_system,neuroblastoma,0.004569,0.134525,
,PA-1,UNCLASSIFIED,urogenital_system,ovary,0.004644,0.092731,
,KP-N-YS,NB,nervous_system,neuroblastoma,0.004846,0.15444,
,NB4,LAML,blood,acute_myeloid_leukaemia,0.004865,0.104123,
,MV-4-11,UNCLASSIFIED,blood,leukemia,0.004938,0.124356,
,ST486,UNCLASSIFIED,blood,Burkitt_lymphoma,0.004948,0.132724,
,CHP-134,NB,nervous_system,neuroblastoma,0.005163,0.15768,
,SK-MM-2,MM,blood,myeloma,0.005236,0.160212,
,QIMR-WIL,LAML,blood,acute_myeloid_leukaemia,0.005237,0.150468,
,OPM-2,MM,blood,myeloma,0.005349,0.117861,
,NKM-1,LAML,blood,acute_myeloid_leukaemia,0.005398,0.172713,
,NB1,NB,nervous_system,neuroblastoma,0.005417,0.163345,
,697,UNCLASSIFIED,blood,lymphoblastic_leukemia,0.005443,0.12185,
,COR-L88,SCLC,lung,lung_small_cell_carcinoma,0.005574,0.198603,
,NB14,NB,nervous_system,neuroblastoma,0.005673,0.144075,
,NK-92MI,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.005697,0.13974,
,MDA-MB-453,BRCA,breast,breast,0.005744,0.164352,
,KMOE-2,LAML,blood,acute_myeloid_leukaemia,0.005796,0.151531,
,SNU-C1,COREAD,digestive_system,large_intestine,0.005874,0.235883,
,HCC1599,BRCA,breast,breast,0.00599,0.166155,
,H9,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.006094,0.155633,
,TUR,DLBC,blood,B_cell_lymphoma,0.00619,0.156465,
,RPMI-8866,LCML,blood,chronic_myeloid_leukaemia,0.006245,0.159631,
,MLMA,UNCLASSIFIED,blood,hairy_cell_leukaemia,0.006253,0.167518,
,RPMI-6666,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.006314,0.196916,
,MOLT-16,ALL,blood,lymphoblastic_T_cell_leukaemia,0.006495,0.137036,
,MOLT-4,ALL,blood,lymphoblastic_leukemia,0.006632,0.145666,
,BV-173,LCML,blood,chronic_myeloid_leukaemia,0.006653,0.170051,
,TGW,NB,nervous_system,neuroblastoma,0.006749,0.152753,
,OCUM-1,STAD,digestive_system,stomach,0.006834,0.194694,
,KMS-12-BM,MM,blood,myeloma,0.006842,0.144241,
Epirubicin,EW-13,UNCLASSIFIED,bone,ewings_sarcoma,0.006887,0.19947, C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O 
,SU-DHL-5,DLBC,blood,B_cell_lymphoma,0.004512,0.221761,
,MOLT-16,ALL,blood,lymphoblastic_T_cell_leukaemia,0.005379,0.247115,
,697,UNCLASSIFIED,blood,lymphoblastic_leukemia,0.005783,0.265129,
,Farage,DLBC,blood,B_cell_lymphoma,0.006085,0.050707,
,CHP-134,NB,nervous_system,neuroblastoma,0.009265,0.339917,
,CESS,LAML,blood,acute_myeloid_leukaemia,0.00955,0.34005,
,IMR-5,NB,nervous_system,neuroblastoma,0.009561,0.333797,
,RH-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,0.009805,0.336967,
,MOLM-13,LAML,blood,acute_myeloid_leukaemia,0.010102,0.339014,
,DOHH-2,DLBC,blood,B_cell_lymphoma,0.010764,0.039053,
,RCH-ACV,UNCLASSIFIED,blood,B_cell_leukemia,0.011413,0.089166,
,KOPN-8,UNCLASSIFIED,blood,B_cell_leukemia,0.011595,0.36548,
,JSC-1,DLBC,blood,B_cell_lymphoma,0.013654,0.386135,
,CTV-1,LAML,blood,acute_myeloid_leukaemia,0.01392,0.38367,
,SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.014466,0.38938,
,SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,0.015342,0.395796,
,KE-37,ALL,blood,lymphoblastic_leukemia,0.015427,0.398103,
,A3-KAW,DLBC,blood,B_cell_lymphoma,0.01623,0.405907,
,ARH-77,MM,blood,myeloma,0.016737,0.414033,
,JVM-3,CLL,blood,lymphoid_neoplasm_other,0.016806,0.416412,
,IM-9,MM,blood,myeloma,0.016862,0.412223,
,HuTu-80,UNCLASSIFIED,digestive_system,digestive_system_other,0.017064,0.146944,
,DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.018146,0.421668,
,G-401,UNCLASSIFIED,kidney,kidney,0.019901,0.446227,
,ES8,UNCLASSIFIED,bone,ewings_sarcoma,0.019928,0.436438,
,MV-4-11,UNCLASSIFIED,blood,leukemia,0.019939,0.434263,
,MOLT-4,ALL,blood,lymphoblastic_leukemia,0.020196,0.436832,
,NAMALWA,UNCLASSIFIED,blood,Burkitt_lymphoma,0.020933,0.442639,
,Raji,UNCLASSIFIED,blood,Burkitt_lymphoma,0.021636,0.447416,
,NB4,LAML,blood,acute_myeloid_leukaemia,0.021781,0.139816,
,VAL,DLBC,blood,B_cell_lymphoma,0.021947,0.452094,
,P12-ICHIKAWA,ALL,blood,lymphoblastic_T_cell_leukaemia,0.022553,0.452797,
,DU-4475,BRCA,breast,breast,0.02259,0.452498,
,NALM-6,UNCLASSIFIED,blood,B_cell_leukemia,0.022645,0.454385,
,CML-T1,LCML,blood,chronic_myeloid_leukaemia,0.02406,0.461551,
,NCI-H2110,UNCLASSIFIED,lung,lung_NSCLC_not_specified,0.024112,0.191798,
,BV-173,LCML,blood,chronic_myeloid_leukaemia,0.024577,0.465945,
,JVM-2,CLL,blood,lymphoid_neoplasm_other,0.025438,0.472918,
,ES7,UNCLASSIFIED,bone,ewings_sarcoma,0.025472,0.471638,
,RL,DLBC,blood,B_cell_lymphoma,0.026158,0.192927,
,BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,0.026386,0.473784,
,ATN-1,ALL,blood,lymphoblastic_T_cell_leukaemia,0.027179,0.478725,
,SU-DHL-1,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,0.027349,0.197542,
,SKM-1,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,0.027595,0.179982,
,L-428,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.027648,0.481468,
,SCC-3,DLBC,blood,B_cell_lymphoma,0.030591,0.495279,
,RPMI-8402,ALL,blood,lymphoblastic_T_cell_leukaemia,0.031486,0.499359,
,BONNA-12,-,blood,hairy_cell_leukaemia,0.03195,0.214713,
,WIL2-NS,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.032113,0.502069,
Flavopiridol,SU-DHL-4,DLBC,blood,B_cell_lymphoma,0.034706,0.200664,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O
