drugbank_accession_number,generic_name,type,Sequence,groups,ECFP,MeSH,MyID,ecfp_cluster
DB12100,Abediterol,Small Molecule,O[C@@H](CNCCCCCCOCC(F)(F)C1=CC=CC=C1)C1=C2C=CC(=O)NC2=C(O)C=C1,investigational,"[1, 13, 80, 81, 114, 182, 227, 237, 291, 293, 304, 314, 389, 487, 592, 606, 650, 667, 695, 771, 805, 807, 908, 962, 1004, 1088, 1114, 1143, 1152, 1199, 1249, 1262, 1325, 1357, 1362, 1380, 1399, 1417, 1453, 1475, 1530, 1602, 1607, 1611, 1616, 1699, 1715, 1733, 1736, 1745, 1750, 1864, 1873, 1911, 1928, 1992, 2011, 2017]",C576952,2578,A
DB12105,Imagabalin,Small Molecule,CCC[C@@H](C)C[C@H](N)CC(O)=O,investigational,"[1, 80, 283, 294, 364, 389, 599, 650, 680, 739, 786, 794, 807, 1057, 1068, 1135, 1141, 1171, 1240, 1290, 1602, 1618, 1737, 1824, 1917]",C583768,2579,E
DB12107,Vaborbactam,Small Molecule,OB1O[C@H](CC(O)=O)CC[C@@H]1NC(=O)CC1=CC=CS1,approved investigational,"[13, 14, 41, 54, 80, 85, 196, 241, 294, 325, 383, 387, 389, 650, 656, 675, 807, 911, 912, 926, 1004, 1019, 1088, 1152, 1256, 1304, 1323, 1325, 1332, 1380, 1391, 1500, 1567, 1572, 1714, 1737, 1746, 1750, 1798, 1873, 1879, 1917, 1976]",C000626994,2580,C
DB12110,m-Chlorophenylpiperazine,Small Molecule,ClC1=CC(=CC=C1)N1CCNCC1,investigational,"[165, 216, 305, 407, 496, 561, 592, 650, 687, 804, 875, 926, 935, 1039, 1049, 1088, 1114, 1308, 1380, 1480, 1516, 1683, 1750, 1825, 1873, 2020]",C015068,2581,C
DB12111,MK-212,Small Molecule,ClC1=NC(=CN=C1)N1CCNCC1,investigational,"[142, 205, 285, 294, 305, 378, 407, 527, 561, 697, 804, 893, 926, 935, 1114, 1175, 1308, 1380, 1480, 1516, 1535, 1603, 1683, 1758, 1855, 1873, 2020]",C014896,2582,C
DB12116,Epigallocatechin gallate,Small Molecule,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C1=CC(O)=C(O)C(O)=C1,investigational,"[118, 120, 125, 145, 167, 188, 202, 231, 302, 352, 361, 416, 650, 656, 695, 745, 750, 798, 807, 838, 875, 926, 1019, 1088, 1126, 1181, 1279, 1327, 1380, 1385, 1387, 1537, 1602, 1607, 1672, 1763, 1775, 1840, 1873, 1905, 1917, 1994]",C045651,2583,C
DB12123,Cinepazide,Small Molecule,COC1=CC(\C=C\C(=O)N2CCN(CC(=O)N3CCCC3)CC2)=CC(OC)=C1OC,investigational,"[31, 74, 80, 249, 277, 282, 333, 369, 568, 650, 676, 694, 695, 760, 807, 835, 841, 861, 875, 926, 935, 1009, 1028, 1057, 1308, 1312, 1313, 1380, 1476, 1480, 1536, 1589, 1599, 1661, 1791, 1828, 1873, 1892, 1912, 1917, 1970, 1998, 2009, 2033]",C026896,2584,C
DB12126,Bradykinin,Small Molecule,N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(O)=O,investigational,"[1, 41, 79, 80, 108, 117, 140, 143, 151, 183, 193, 197, 222, 242, 343, 354, 389, 412, 446, 462, 482, 488, 531, 573, 623, 624, 650, 667, 689, 708, 736, 739, 786, 807, 831, 837, 849, 857, 875, 894, 926, 935, 983, 1019, 1028, 1066, 1088, 1104, 1110, 1152, 1171, 1199, 1325, 1380, 1393, 1433, 1440, 1451, 1466, 1480, 1535, 1616, 1621, 1624, 1688, 1715, 1750, 1754, 1755, 1826, 1844, 1849, 1873, 1876, 1911, 1917, 2006, 2016]",D001920,2585,C
DB12127,Sultamicillin,Small Molecule,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(=O)OCOC(=O)[C@@H]1N2C(=O)C[C@@]2([H])S(=O)(=O)C1(C)C,approved investigational,"[1, 5, 18, 80, 130, 147, 207, 211, 231, 233, 251, 314, 387, 389, 469, 534, 573, 607, 650, 673, 675, 695, 734, 753, 767, 772, 786, 798, 807, 926, 935, 970, 1019, 1057, 1060, 1088, 1149, 1150, 1152, 1171, 1199, 1205, 1220, 1249, 1274, 1279, 1298, 1365, 1380, 1396, 1577, 1581, 1609, 1635, 1688, 1733, 1750, 1777, 1797, 1873, 1917, 1937, 1943, 1947, 1956]",C035444,2586,C
DB12128,Ulimorelin,Small Molecule,C[C@@H]1CN[C@@H](C2CC2)C(=O)N(C)[C@H](C)C(=O)N[C@H](CC2=CC=C(F)C=C2)C(=O)NCCCC2=CC=CC=C2O1,investigational,"[5, 80, 90, 115, 160, 187, 206, 301, 305, 310, 314, 373, 458, 470, 476, 556, 567, 585, 619, 650, 656, 699, 750, 878, 926, 935, 957, 958, 1019, 1025, 1028, 1034, 1057, 1078, 1088, 1114, 1145, 1199, 1236, 1302, 1309, 1325, 1351, 1380, 1410, 1456, 1481, 1495, 1507, 1596, 1670, 1689, 1708, 1738, 1750, 1754, 1782, 1827, 1866, 1873, 1893, 1905, 1911, 1928, 1939, 2047]",C528884,2587,C
DB05657,Ulimorelin,Small Molecule,C[C@@H]1CN[C@@H](C2CC2)C(=O)N(C)[C@H](C)C(=O)N[C@H](CC2=CC=C(F)C=C2)C(=O)NCCCC2=CC=CC=C2O1,investigational,"[5, 80, 90, 115, 160, 187, 206, 301, 305, 310, 314, 373, 458, 470, 476, 556, 567, 585, 619, 650, 656, 699, 750, 878, 926, 935, 957, 958, 1019, 1025, 1028, 1034, 1057, 1078, 1088, 1114, 1145, 1199, 1236, 1302, 1309, 1325, 1351, 1380, 1410, 1456, 1481, 1495, 1507, 1596, 1670, 1689, 1708, 1738, 1750, 1754, 1782, 1827, 1866, 1873, 1893, 1905, 1911, 1928, 1939, 2047]",C528884,2587,C
DB12129,Tideglusib,Small Molecule,O=C1SN(C(=O)N1CC1=CC=CC=C1)C1=C2C=CC=CC2=CC=C1,investigational withdrawn,"[63, 80, 250, 314, 335, 389, 538, 650, 675, 727, 771, 797, 802, 935, 972, 1039, 1066, 1087, 1088, 1104, 1199, 1295, 1304, 1357, 1380, 1442, 1573, 1615, 1647, 1674, 1683, 1750, 1754, 1765, 1855, 1873]",C520571,2588,C
DB12130,Lorlatinib,Small Molecule,C[C@H]1OC2=C(N)N=CC(=C2)C2=C(C#N)N(C)N=C2CN(C)C(=O)C2=C1C=C(F)C=C2,approved investigational,"[95, 104, 123, 148, 160, 194, 314, 331, 352, 378, 406, 650, 656, 674, 680, 681, 699, 750, 755, 790, 875, 879, 926, 935, 968, 997, 1019, 1021, 1027, 1057, 1058, 1089, 1105, 1136, 1145, 1156, 1160, 1171, 1309, 1380, 1384, 1410, 1452, 1457, 1459, 1487, 1534, 1535, 1636, 1670, 1693, 1747, 1750, 1832, 1873, 1902, 1905, 1928, 1946, 1948, 1956, 1979]",C000590786,2589,A
DB12131,Vinpocetine,Small Molecule,[H][C@]12N3CCC[C@@]1(CC)C=C(N1C4=CC=CC=C4C(CC3)=C21)C(=O)OCC,investigational,"[45, 69, 71, 80, 83, 99, 145, 147, 238, 239, 294, 361, 544, 644, 650, 695, 709, 734, 747, 759, 802, 807, 873, 926, 935, 1019, 1028, 1057, 1060, 1086, 1088, 1112, 1119, 1162, 1199, 1238, 1285, 1351, 1357, 1380, 1435, 1480, 1524, 1565, 1573, 1651, 1722, 1738, 1749, 1750, 1854, 1873, 1917, 1989, 1993]",C013983,2590,C
DB12137,GSK-256066,Small Molecule,COC1=CC=CC(NC2=C(C=NC3=C(C)C=C(C=C23)S(=O)(=O)C2=CC(=CC=C2)C(=O)N(C)C)C(N)=O)=C1,investigational,"[138, 140, 191, 309, 319, 322, 329, 350, 378, 381, 491, 562, 575, 650, 695, 703, 716, 781, 789, 807, 835, 841, 866, 875, 881, 1003, 1039, 1057, 1061, 1088, 1134, 1152, 1163, 1171, 1173, 1186, 1212, 1221, 1296, 1310, 1357, 1380, 1385, 1391, 1410, 1452, 1476, 1482, 1535, 1536, 1571, 1588, 1653, 1722, 1724, 1750, 1786, 1873, 1917, 1972, 1974, 1984, 1985, 1991]",C549469,2591,A
DB12138,PF-03715455,Small Molecule,CC(C)(C)C1=NN(C(NC(=O)NCC2=CC=CC=C2SC2=CN3C(C=C2)=NN=C3C2=CC=CC=C2SCCO)=C1)C1=CC=C(O)C(Cl)=C1,investigational,"[80, 114, 116, 197, 202, 222, 233, 235, 255, 277, 312, 319, 341, 352, 360, 366, 368, 377, 378, 392, 399, 464, 473, 552, 561, 596, 650, 693, 735, 755, 763, 804, 807, 811, 819, 875, 899, 935, 984, 998, 1025, 1036, 1048, 1055, 1057, 1060, 1088, 1092, 1152, 1163, 1164, 1182, 1199, 1255, 1277, 1339, 1349, 1380, 1475, 1508, 1597, 1602, 1607, 1616, 1621, 1645, 1683, 1722, 1741, 1745, 1750, 1799, 1816, 1825, 1852, 1873, 1917, 1956, 1969, 1989, 2029]",C569762,2592,A
DB12140,Dilmapimod,Small Molecule,CC1=CC(F)=CC=C1C1=C2C=CC(=O)N(C2=NC(NC(CO)CO)=N1)C1=C(F)C=CC=C1F,investigational,"[1, 80, 138, 142, 146, 222, 263, 303, 314, 323, 352, 378, 403, 482, 650, 680, 690, 699, 807, 875, 911, 925, 935, 950, 953, 966, 1032, 1039, 1051, 1057, 1088, 1141, 1152, 1159, 1197, 1221, 1277, 1336, 1357, 1380, 1391, 1410, 1487, 1562, 1582, 1670, 1696, 1722, 1733, 1750, 1840, 1855, 1873, 1928, 1934, 1993]",C574213,2593,A
DB05250,Dilmapimod,Small Molecule,CC1=CC(F)=CC=C1C1=C2C=CC(=O)N(C2=NC(NC(CO)CO)=N1)C1=C(F)C=CC=C1F,investigational,"[1, 80, 138, 142, 146, 222, 263, 303, 314, 323, 352, 378, 403, 482, 650, 680, 690, 699, 807, 875, 911, 925, 935, 950, 953, 966, 1032, 1039, 1051, 1057, 1088, 1141, 1152, 1159, 1197, 1221, 1277, 1336, 1357, 1380, 1391, 1410, 1487, 1562, 1582, 1670, 1696, 1722, 1733, 1750, 1840, 1855, 1873, 1928, 1934, 1993]",C574213,2593,A
DB12141,Gilteritinib,Small Molecule,CCC1=C(NC2CCOCC2)N=C(NC2=CC=C(N3CCC(CC3)N3CCN(C)CC3)C(OC)=C2)C(=N1)C(N)=O,approved investigational,"[14, 80, 140, 191, 207, 231, 249, 294, 301, 309, 329, 335, 378, 394, 407, 440, 490, 491, 523, 558, 644, 646, 650, 656, 695, 708, 716, 758, 807, 841, 843, 847, 875, 888, 926, 935, 950, 958, 1019, 1032, 1057, 1142, 1143, 1145, 1152, 1171, 1236, 1295, 1325, 1369, 1380, 1405, 1480, 1509, 1536, 1589, 1634, 1736, 1744, 1750, 1799, 1804, 1854, 1855, 1873, 1897, 1910, 1915, 1917, 1970]",C000609080,2594,C
DB12146,Rigosertib,Small Molecule,COC1=CC(OC)=C(\C=C\S(=O)(=O)CC2=CC=C(OC)C(NCC(O)=O)=C2)C(OC)=C1,investigational,"[5, 80, 94, 98, 249, 310, 322, 333, 350, 389, 390, 458, 501, 635, 650, 694, 695, 781, 807, 835, 841, 875, 1057, 1152, 1218, 1224, 1234, 1321, 1350, 1380, 1416, 1440, 1459, 1476, 1536, 1538, 1618, 1657, 1669, 1737, 1750, 1754, 1793, 1873, 1917, 1970, 2030]",C507134,2595,C
DB12147,Erdafitinib,Small Molecule,COC1=CC(=CC(OC)=C1)N(CCNC(C)C)C1=CC=C2N=CC(=NC2=C1)C1=CN(C)N=C1,approved investigational,"[1, 43, 80, 161, 168, 276, 283, 322, 327, 342, 377, 378, 464, 667, 695, 736, 773, 781, 782, 841, 875, 881, 926, 935, 960, 961, 980, 1003, 1028, 1031, 1057, 1096, 1097, 1116, 1142, 1145, 1152, 1160, 1218, 1291, 1299, 1316, 1380, 1452, 1535, 1536, 1750, 1762, 1787, 1811, 1855, 1858, 1873, 1897, 1951, 1974, 2030]",C000604580,2596,A
DB12148,Menatetrenone,Small Molecule,[H]\C(CC\C(C)=C(/[H])CC\C(C)=C(/[H])CC1=C(C)C(=O)C2=CC=CC=C2C1=O)=C(\C)CCC=C(C)C,investigational,"[1, 80, 101, 169, 237, 314, 352, 357, 385, 401, 425, 479, 623, 650, 694, 807, 984, 1017, 1057, 1088, 1093, 1157, 1199, 1215, 1257, 1380, 1472, 1476, 1499, 1564, 1574, 1582, 1714, 1722, 1734, 1750, 1873]",C030814,2597,C
DB12151,Brincidofovir,Small Molecule,CCCCCCCCCCCCCCCCOCCCOP(O)(=O)CO[C@H](CO)CN1C=CC(N)=NC1=O,approved investigational,"[1, 13, 62, 80, 125, 192, 222, 294, 314, 316, 378, 424, 445, 482, 485, 486, 591, 613, 650, 691, 695, 758, 781, 794, 807, 908, 935, 1057, 1101, 1143, 1171, 1196, 1249, 1325, 1337, 1339, 1352, 1380, 1444, 1455, 1457, 1496, 1584, 1644, 1679, 1716, 1750, 1753, 1838, 1855, 1873, 1887, 1911, 1922, 1992, 2042]",C525733,2598,B
DB05176,Brincidofovir,Small Molecule,CCCCCCCCCCCCCCCCOCCCOP(O)(=O)CO[C@H](CO)CN1C=CC(N)=NC1=O,approved investigational,"[1, 13, 62, 80, 125, 192, 222, 294, 314, 316, 378, 424, 445, 482, 485, 486, 591, 613, 650, 691, 695, 758, 781, 794, 807, 908, 935, 1057, 1101, 1143, 1171, 1196, 1249, 1325, 1337, 1339, 1352, 1380, 1444, 1455, 1457, 1496, 1584, 1644, 1679, 1716, 1750, 1753, 1838, 1855, 1873, 1887, 1911, 1922, 1992, 2042]",C525733,2598,B
DB12156,Cordycepin,Small Molecule,[H][C@@]1(CO)C[C@@]([H])(O)[C@@]([H])(O1)N1C=NC2=C(N)N=CN=C12,investigational,"[80, 194, 209, 222, 363, 378, 452, 489, 577, 656, 807, 849, 926, 932, 935, 957, 962, 1019, 1033, 1095, 1171, 1176, 1253, 1257, 1292, 1380, 1391, 1452, 1457, 1459, 1516, 1535, 1543, 1572, 1576, 1696, 1724, 1758, 1810, 1873, 1921]",C058120,2599,B
DB12160,Bucillamine,Small Molecule,CC(C)(S)C(=O)N[C@@H](CS)C(O)=O,investigational,"[1, 67, 80, 114, 117, 229, 321, 389, 392, 650, 675, 736, 807, 865, 923, 1053, 1057, 1152, 1287, 1344, 1459, 1624, 1635, 1844, 1917]",C026535,2600,E
DB12161,Deutetrabenazine,Small Molecule,[2H]C([2H])([2H])OC1=CC2=C(C=C1OC([2H])([2H])[2H])[C@@H]1CC(=O)[C@@H](CC(C)C)CN1CC2,approved investigational,"[1, 34, 80, 114, 231, 283, 314, 321, 327, 335, 341, 370, 510, 548, 650, 695, 739, 826, 875, 926, 935, 1019, 1027, 1057, 1086, 1229, 1236, 1302, 1311, 1312, 1380, 1480, 1589, 1611, 1643, 1660, 1673, 1718, 1738, 1815, 1847, 1854, 1873, 1888, 1946, 1970]",C000609690,2601,C
DB12163,Sarpogrelate,Small Molecule,COC1=CC(CCC2=CC=CC=C2OCC(CN(C)C)OC(=O)CCC(O)=O)=CC=C1,investigational,"[1, 69, 80, 104, 118, 125, 322, 389, 499, 559, 562, 580, 650, 652, 695, 738, 781, 807, 841, 875, 881, 899, 1039, 1057, 1066, 1088, 1163, 1199, 1240, 1243, 1256, 1287, 1349, 1353, 1380, 1386, 1410, 1423, 1441, 1452, 1536, 1564, 1597, 1619, 1737, 1750, 1754, 1860, 1873, 1898, 1903, 1917, 1970, 1972, 2024]",C064294,2602,A
DB12173,Diphencyprone,Small Molecule,O=C1C(=C1C1=CC=CC=C1)C1=CC=CC=C1,investigational,"[314, 389, 525, 624, 650, 736, 780, 795, 1088, 1160, 1199, 1380, 1747, 1750, 1873]",C029402,2603,A
DB12174,CUDC-101,Small Molecule,COC1=C(OCCCCCCC(=O)NO)C=C2C(NC3=CC=CC(=C3)C#C)=NC=NC2=C1,investigational,"[13, 41, 80, 102, 191, 249, 329, 378, 489, 491, 650, 673, 674, 695, 703, 708, 747, 780, 794, 807, 841, 875, 878, 888, 915, 955, 974, 1039, 1057, 1088, 1097, 1143, 1152, 1157, 1173, 1226, 1245, 1249, 1255, 1262, 1267, 1357, 1367, 1380, 1452, 1518, 1536, 1564, 1629, 1631, 1648, 1651, 1718, 1734, 1750, 1810, 1873, 1911, 1917, 1970]",C549566,2604,A
DB12181,Dalcetrapib,Small Molecule,CCC(CC)CC1(CCCCC1)C(=O)NC1=CC=CC=C1SC(=O)C(C)C,investigational,"[1, 2, 80, 82, 116, 283, 294, 310, 313, 319, 352, 377, 458, 485, 543, 650, 807, 926, 1025, 1028, 1057, 1060, 1088, 1116, 1128, 1152, 1162, 1199, 1218, 1224, 1274, 1349, 1380, 1420, 1517, 1544, 1551, 1638, 1696, 1704, 1711, 1750, 1816, 1873, 1917, 2016]",C411602,2605,A
DB12184,Gepirone,Small Molecule,CC1(C)CC(=O)N(CCCCN2CCN(CC2)C2=NC=CC=N2)C(=O)C1,investigational,"[74, 80, 259, 314, 353, 378, 407, 448, 460, 588, 650, 653, 784, 798, 893, 926, 935, 940, 1057, 1060, 1088, 1145, 1256, 1274, 1301, 1380, 1452, 1470, 1480, 1482, 1487, 1508, 1668, 1791, 1849, 1866, 1873, 1911]",C039979,2606,C
DB12191,Obatoclax,Small Molecule,COC1=CC(=N\C1=C/C1=C(C)C=C(C)N1)C1=CC2=CC=CC=C2N1,investigational,"[26, 84, 119, 149, 252, 281, 315, 351, 372, 378, 475, 694, 695, 707, 725, 764, 809, 841, 875, 927, 1053, 1057, 1087, 1088, 1114, 1199, 1231, 1268, 1324, 1380, 1391, 1536, 1594, 1674, 1697, 1722, 1745, 1750, 1783, 1817, 1819, 1855, 1873, 1993, 2001, 2047]",C520962,2607,A
DB05567,Obatoclax,Small Molecule,COC1=CC(=N\C1=C/C1=C(C)C=C(C)N1)C1=CC2=CC=CC=C2N1,investigational,"[26, 84, 119, 149, 252, 281, 315, 351, 372, 378, 475, 694, 695, 707, 725, 764, 809, 841, 875, 927, 1053, 1057, 1087, 1088, 1114, 1199, 1231, 1268, 1324, 1380, 1391, 1536, 1594, 1674, 1697, 1722, 1745, 1750, 1783, 1817, 1819, 1855, 1873, 1993, 2001, 2047]",C520962,2607,A
DB12192,Emeramide,Small Molecule,SCCNC(=O)C1=CC(=CC=C1)C(=O)NCCS,investigational,"[8, 80, 197, 229, 265, 287, 486, 526, 574, 650, 652, 667, 807, 875, 1039, 1088, 1147, 1152, 1380, 1385, 1459, 1750, 1873, 1917, 1985]",C000629929,2608,A
DB12193,Ajulemic acid,Small Molecule,[H][C@@]12CC(=CC[C@@]1([H])C(C)(C)OC1=CC(=CC(O)=C21)C(C)(C)CCCCCC)C(O)=O,investigational,"[80, 114, 231, 260, 269, 294, 389, 392, 455, 456, 519, 571, 591, 598, 644, 650, 656, 701, 785, 794, 807, 860, 875, 921, 926, 982, 1019, 1057, 1060, 1143, 1151, 1263, 1274, 1282, 1308, 1380, 1417, 1424, 1444, 1494, 1510, 1594, 1602, 1607, 1648, 1716, 1781, 1809, 1873, 1905, 1911, 1917, 1949, 1953, 2010]",C471849,2609,C
DB12194,Atamestane,Small Molecule,CC1=CC(=O)C=C2CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]3[C@@]12C,investigational,"[7, 61, 84, 121, 182, 239, 314, 319, 397, 408, 504, 519, 529, 568, 622, 650, 721, 740, 758, 926, 967, 1019, 1057, 1060, 1095, 1162, 1274, 1325, 1364, 1380, 1428, 1519, 1635, 1722, 1738, 1855, 1873, 1884]",C048751,2610,D
DB12200,Tivantinib,Small Molecule,O=C1NC(=O)[C@H]([C@@H]1C1=CNC2=CC=CC=C12)C1=CN2CCCC3=C2C1=CC=C3,investigational,"[17, 43, 119, 135, 226, 314, 328, 398, 464, 556, 558, 606, 625, 650, 806, 896, 921, 926, 935, 974, 1019, 1027, 1028, 1034, 1039, 1060, 1088, 1114, 1138, 1199, 1236, 1357, 1380, 1391, 1440, 1453, 1480, 1573, 1708, 1738, 1750, 1783, 1873, 1879, 1881, 1937, 1958]",C551661,2611,C
DB06026,Tivantinib,Small Molecule,O=C1NC(=O)[C@H]([C@@H]1C1=CNC2=CC=CC=C12)C1=CN2CCCC3=C2C1=CC=C3,investigational,"[17, 43, 119, 135, 226, 314, 328, 398, 464, 556, 558, 606, 625, 650, 806, 896, 921, 926, 935, 974, 1019, 1027, 1028, 1034, 1039, 1060, 1088, 1114, 1138, 1199, 1236, 1357, 1380, 1391, 1440, 1453, 1480, 1573, 1708, 1738, 1750, 1783, 1873, 1879, 1881, 1937, 1958]",C551661,2611,C
DB12212,Landiolol,Small Molecule,CC1(C)OC[C@@H](COC(=O)CCC2=CC=C(OC[C@@H](O)CNCCNC(=O)N3CCOCC3)C=C2)O1,investigational,"[1, 11, 72, 80, 81, 102, 118, 126, 147, 197, 218, 227, 310, 322, 430, 523, 606, 650, 656, 658, 667, 677, 695, 718, 772, 807, 897, 926, 935, 950, 1004, 1017, 1019, 1045, 1057, 1060, 1070, 1090, 1120, 1136, 1152, 1231, 1243, 1256, 1274, 1300, 1380, 1386, 1391, 1405, 1441, 1445, 1452, 1468, 1480, 1481, 1509, 1564, 1699, 1750, 1754, 1801, 1856, 1870, 1873, 1917, 1923, 2009, 2038]",C077049,2612,A
DB12216,Bergapten,Small Molecule,COC1=C2C=CC(=O)OC2=CC2=C1C=CO2,investigational,"[28, 109, 166, 207, 239, 314, 333, 406, 650, 656, 695, 787, 841, 852, 875, 1057, 1233, 1357, 1380, 1441, 1536, 1599, 1604, 1624, 1638, 1733, 1750, 1808, 1827, 1873, 2041]",D000078223,2613,A
DB12220,ORG-25935,Small Molecule,COC1=CC=C2[C@H]([C@@H](CN(C)CC(O)=O)CCC2=C1)C1=CC=CC=C1,investigational,"[80, 89, 226, 322, 364, 389, 456, 605, 650, 671, 695, 713, 718, 781, 794, 796, 807, 834, 841, 875, 876, 881, 926, 1019, 1027, 1039, 1057, 1088, 1163, 1190, 1199, 1236, 1279, 1325, 1380, 1453, 1476, 1536, 1660, 1663, 1737, 1738, 1750, 1873, 1917, 1972]",C520612,2614,C
DB12221,Canrenone,Small Molecule,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@]12C,investigational,"[84, 88, 132, 177, 242, 274, 314, 420, 479, 519, 529, 547, 555, 604, 650, 656, 666, 841, 926, 970, 985, 1006, 1015, 1019, 1056, 1057, 1060, 1083, 1089, 1162, 1269, 1274, 1282, 1325, 1380, 1436, 1598, 1738, 1759, 1845, 1873, 1884, 1941]",D002192,2615,D
DB12224,Oxothiazolidinecarboxylic acid,Small Molecule,OC(=O)[C@@H]1CSC(=O)N1,investigational,"[83, 157, 301, 314, 362, 389, 424, 553, 650, 675, 807, 926, 1019, 1114, 1208, 1380, 1431, 1676, 1819, 1828, 1871, 1917]",C029536,2616,C
DB12226,Terameprocol,Small Molecule,COC1=CC=C(C[C@H](C)[C@H](C)CC2=CC=C(OC)C(OC)=C2)C=C1OC,investigational,"[1, 79, 80, 94, 140, 249, 283, 310, 695, 841, 875, 1027, 1057, 1245, 1380, 1536, 1603, 1750, 1754, 1773, 1785, 1873, 1970, 1990]",C076852,2617,A
DB12228,Telcagepant,Small Molecule,FC1=C(F)C(=CC=C1)[C@@H]1CC[C@@H](NC(=O)N2CCC(CC2)N2C(=O)NC3=C2C=CC=N3)C(=O)N(CC(F)(F)F)C1,investigational,"[5, 45, 51, 80, 114, 156, 213, 218, 242, 314, 371, 378, 380, 387, 440, 448, 650, 652, 699, 739, 758, 760, 793, 807, 847, 926, 935, 951, 962, 968, 1019, 1027, 1032, 1039, 1043, 1088, 1089, 1114, 1152, 1268, 1276, 1285, 1325, 1370, 1380, 1420, 1445, 1452, 1453, 1468, 1480, 1502, 1508, 1586, 1745, 1749, 1750, 1793, 1811, 1840, 1866, 1873, 1910, 1915, 1917, 1928, 1979, 2000, 2009, 2046]",C525458,2618,A
DB05760,Telcagepant,Small Molecule,FC1=C(F)C(=CC=C1)[C@@H]1CC[C@@H](NC(=O)N2CCC(CC2)N2C(=O)NC3=C2C=CC=N3)C(=O)N(CC(F)(F)F)C1,investigational,"[5, 45, 51, 80, 114, 156, 213, 218, 242, 314, 371, 378, 380, 387, 440, 448, 650, 652, 699, 739, 758, 760, 793, 807, 847, 926, 935, 951, 962, 968, 1019, 1027, 1032, 1039, 1043, 1088, 1089, 1114, 1152, 1268, 1276, 1285, 1325, 1370, 1380, 1420, 1445, 1452, 1453, 1468, 1480, 1502, 1508, 1586, 1745, 1749, 1750, 1793, 1811, 1840, 1866, 1873, 1910, 1915, 1917, 1928, 1979, 2000, 2009, 2046]",C525458,2618,A
DB12230,Bunazosin,Small Molecule,CCCC(=O)N1CCCN(CC1)C1=NC(N)=C2C=C(OC)C(OC)=CC2=N1,investigational,"[80, 249, 294, 335, 369, 378, 407, 650, 680, 695, 760, 780, 794, 807, 841, 875, 926, 935, 996, 1009, 1028, 1057, 1083, 1097, 1106, 1171, 1236, 1245, 1256, 1261, 1357, 1380, 1457, 1459, 1480, 1493, 1508, 1536, 1564, 1589, 1648, 1668, 1855, 1867, 1873, 1915, 1917, 1970, 2009]",C018176,2619,C
DB12231,Temefos,Small Molecule,COP(=S)(OC)OC1=CC=C(SC2=CC=C(OP(=S)(OC)OC)C=C2)C=C1,investigational,"[13, 24, 97, 116, 192, 322, 552, 597, 601, 675, 695, 718, 811, 841, 938, 1057, 1059, 1255, 1380, 1456, 1729, 1750, 1802, 1873]",D000002,2620,A
DB12235,Estetrol,Small Molecule,[H][C@@]12[C@@H](O)[C@@H](O)[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H],approved investigational,"[381, 408, 455, 561, 622, 675, 713, 745, 807, 818, 875, 926, 1009, 1019, 1027, 1039, 1057, 1060, 1073, 1142, 1162, 1236, 1257, 1274, 1293, 1313, 1325, 1380, 1477, 1487, 1524, 1602, 1660, 1738, 1750, 1865, 1873, 1951]",D004953,2621,D
DB12243,Edaravone,Small Molecule,CC1=NN(C(=O)C1)C1=CC=CC=C1,approved investigational,"[191, 235, 314, 378, 389, 578, 627, 650, 660, 798, 926, 935, 1049, 1057, 1088, 1167, 1199, 1380, 1564, 1722, 1750, 1825, 1873, 1953, 2018, 2044]",D000077553,2622,A
DB12245,Triclabendazole,Small Molecule,CSC1=NC2=C(N1)C=C(Cl)C(OC1=CC=CC(Cl)=C1Cl)=C2,approved investigational,"[116, 119, 311, 366, 373, 378, 394, 408, 561, 597, 695, 780, 875, 974, 1011, 1039, 1057, 1088, 1097, 1110, 1113, 1114, 1242, 1269, 1284, 1310, 1380, 1410, 1600, 1609, 1617, 1683, 1718, 1723, 1745, 1750, 1855, 1873, 1970, 1975]",D000077682,2623,C
DB12248,Tulobuterol,Small Molecule,CC(C)(C)NCC(O)C1=CC=CC=C1Cl,investigational,"[1, 80, 89, 114, 227, 237, 269, 366, 392, 561, 581, 603, 606, 706, 807, 843, 974, 1057, 1088, 1152, 1199, 1362, 1380, 1487, 1578, 1616, 1683, 1750, 1873]",C010809,2624,A
